Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1691.90780173913
FDW14,OUT017,1412.1562050420164
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2222.6712822580653
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1771.6885158730165
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848474
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2827.356688888889
FDT44,OUT017,1771.6885158730165
FDQ56,OUT045,1412.1562050420164
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2090.364174444444
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2490.5268867052014
FDI57,OUT045,2919.037191489362
DRC12,OUT018,2919.037191489362
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3719.06432837838
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.48208181818177
FDS10,OUT035,2919.037191489362
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.217603539823
NCE06,OUT046,2222.6712822580653
DRC27,OUT046,3881.917128455283
FDE21,OUT035,2059.921790476191
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2911.4114396396394
NCR06,OUT018,507.046403669725
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2611.459542342344
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848474
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2919.037191489362
NCD43,OUT027,2517.8820884848474
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.8470218487387
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1499.2484399999996
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3328.207380952379
FDF41,OUT035,3719.06432837838
FDU34,OUT046,2090.364174444444
DRH11,OUT046,842.2509434554978
FDM03,OUT013,1499.2484399999996
FDS31,OUT017,3328.207380952379
FDJ20,OUT017,2090.364174444444
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2827.356688888889
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.046403669725
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1353.0650169014093
FDW12,OUT035,2490.5268867052014
FDL51,OUT017,3881.917128455283
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2490.5268867052014
FDB35,OUT027,2517.8820884848474
FDA22,OUT017,2611.459542342344
NCL06,OUT046,4606.651356603774
FDI35,OUT013,3328.207380952379
NCW42,OUT045,3881.917128455283
NCX06,OUT049,2568.332833644861
FDC37,OUT027,2517.8820884848474
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3719.06432837838
NCG06,OUT045,4054.6740144144155
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.48208181818177
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727271
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407414
NCH29,OUT046,1559.342975268818
FDU58,OUT013,2911.4114396396394
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818185
FDT59,OUT046,3627.5498912621356
FDB23,OUT046,3627.5498912621356
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848474
FDU35,OUT018,1372.6884907407414
NCT29,OUT013,2090.364174444444
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2204.451583486238
FDA03,OUT018,2232.8470218487387
FDZ36,OUT045,3328.207380952379
NCU05,OUT013,1240.367307608695
FDT39,OUT018,2232.8470218487387
FDK60,OUT017,1559.342975268818
FDZ25,OUT017,2894.2207107142854
FDG12,OUT046,2245.8220013888886
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727271
FDM22,OUT049,842.2509434554978
