Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1806.25
FDW14,OUT017,1493.25
NCN55,OUT010,1909.375
FDQ58,OUT017,2543.375
FDY38,OUT027,5137.875
FDH56,OUT046,2004.0
FDL48,OUT018,597.0
FDC48,OUT027,2783.0
FDN33,OUT045,1610.5
FDA36,OUT017,3052.125
FDT44,OUT017,1987.25
FDQ56,OUT045,1453.0
NCC54,OUT019,1838.375
FDU11,OUT049,2016.0
DRL59,OUT013,892.125
FDM24,OUT049,2514.0
FDI57,OUT045,3389.5
DRC12,OUT018,2754.375
NCM42,OUT027,3184.25
FDA46,OUT010,1147.875
FDA31,OUT013,2808.5
NCJ31,OUT035,3791.375
FDG52,OUT046,827.625
NCL19,OUT019,339.75
FDS10,OUT035,2929.0
FDX22,OUT010,1479.5
NCF19,OUT035,825.625
NCE06,OUT046,2574.125
DRC27,OUT046,3881.875
FDE21,OUT035,1971.25
NCR42,OUT019,-1404.25
FDX51,OUT018,2868.375
NCR06,OUT018,417.5
FDU31,OUT027,4977.625
FDU59,OUT017,2676.125
FDR03,OUT027,4759.0
FDS49,OUT027,2779.625
FDD48,OUT010,-39.75
NCF18,OUT017,3071.75
NCD43,OUT027,3090.5
NCD54,OUT018,1984.375
FDY19,OUT010,26.375
NCY54,OUT017,2759.875
NCL19,OUT018,2024.5
FDP23,OUT010,1566.375
FDC26,OUT013,1823.75
FDR14,OUT010,-1056.75
NCS41,OUT035,2960.375
FDF41,OUT035,3931.75
FDU34,OUT046,2043.5
DRH11,OUT046,993.375
FDM03,OUT013,1714.875
FDS31,OUT017,3020.375
FDJ20,OUT017,2091.75
FDV44,OUT027,4520.875
FDG02,OUT049,3098.75
FDA09,OUT013,2916.375
FDT04,OUT013,629.125
FDL58,OUT019,2245.25
FDE52,OUT045,1521.875
FDW12,OUT035,2418.75
FDL51,OUT017,3480.375
NCY42,OUT027,3680.875
FDR07,OUT017,1660.625
FDN40,OUT045,2450.5
FDB35,OUT027,2978.125
FDA22,OUT017,2724.0
NCL06,OUT046,4156.5
FDI35,OUT013,2922.0
NCW42,OUT045,3521.5
NCX06,OUT049,2897.625
FDC37,OUT027,3201.625
FDZ14,OUT018,1689.375
DRG49,OUT049,3907.5
NCG06,OUT045,4068.5
DRC36,OUT045,2831.875
FDV21,OUT019,1.625
FDB53,OUT046,2376.25
DRP47,OUT019,2012.625
FDA14,OUT013,2290.125
DRC24,OUT035,2478.75
FDW21,OUT018,1392.875
NCH29,OUT046,1623.125
FDU58,OUT013,3046.875
FDY27,OUT017,2860.0
FDV56,OUT035,1897.125
FDT59,OUT046,3718.375
FDB23,OUT046,3704.25
FDR49,OUT045,831.375
FDB03,OUT010,1895.375
FDN39,OUT045,2751.375
FDX02,OUT027,4943.5
FDQ16,OUT027,3166.75
FDU35,OUT018,1326.25
NCT29,OUT013,1960.125
FDZ27,OUT046,833.5
FDN57,OUT017,2306.625
