Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1632.8765
FDW14,OUT017,1424.688
NCN55,OUT010,583.16327
FDQ58,OUT017,2594.113
FDY38,OUT027,6151.612
FDH56,OUT046,1989.3855
FDL48,OUT018,720.7274
FDC48,OUT027,2274.525
FDN33,OUT045,1572.4968
FDA36,OUT017,3021.887
FDT44,OUT017,1988.6681
FDQ56,OUT045,1422.1569
NCC54,OUT019,614.63837
FDU11,OUT049,2028.7605
DRL59,OUT013,767.35175
FDM24,OUT049,2585.8972
FDI57,OUT045,3104.8489
DRC12,OUT018,2882.3843
NCM42,OUT027,2995.3682
FDA46,OUT010,456.41922
FDA31,OUT013,2892.4717
NCJ31,OUT035,3901.559
FDG52,OUT046,765.0286
NCL19,OUT019,297.85385
FDS10,OUT035,3012.9905
FDX22,OUT010,528.4452
NCF19,OUT035,765.0286
NCE06,OUT046,2608.2734
DRC27,OUT046,3980.783
FDE21,OUT035,1997.5045
NCR42,OUT019,78.43707
FDX51,OUT018,2882.3843
NCR06,OUT018,580.30695
FDU31,OUT027,5631.0654
FDU59,OUT017,2617.8096
FDR03,OUT027,5609.881
FDS49,OUT027,2327.7683
FDD48,OUT010,247.98639
NCF18,OUT017,3026.1946
NCD43,OUT027,2552.2256
NCD54,OUT018,1807.1228
FDY19,OUT010,256.2071
NCY54,OUT017,2891.8843
NCL19,OUT018,2290.64
FDP23,OUT010,505.84494
FDC26,OUT013,1719.0912
FDR14,OUT010,158.27759
NCS41,OUT035,3026.1946
FDF41,OUT035,3923.2913
FDU34,OUT046,2024.6914
DRH11,OUT046,858.1291
FDM03,OUT013,1626.7245
FDS31,OUT017,3016.9666
FDJ20,OUT017,2021.027
FDV44,OUT027,5204.6304
FDG02,OUT049,3018.2312
FDA09,OUT013,2981.8584
FDT04,OUT013,635.2774
FDL58,OUT019,592.85785
FDE52,OUT045,1442.2603
FDW12,OUT035,2595.4333
FDL51,OUT017,3741.0488
NCY42,OUT027,3247.2092
FDR07,OUT017,1574.8551
FDN40,OUT045,2590.4568
FDB35,OUT027,2556.9858
FDA22,OUT017,2739.695
NCL06,OUT046,4075.1858
FDI35,OUT013,3111.816
NCW42,OUT045,3777.2097
NCX06,OUT049,2980.5376
FDC37,OUT027,2545.864
FDZ14,OUT018,1788.8811
DRG49,OUT049,3986.5095
NCG06,OUT045,4065.7253
DRC36,OUT045,2895.5469
FDV21,OUT019,493.07266
FDB53,OUT046,2591.6228
DRP47,OUT019,592.513
FDA14,OUT013,2539.4731
DRC24,OUT035,2601.159
FDW21,OUT018,1511.2449
NCH29,OUT046,1593.5868
FDU58,OUT013,3023.8591
FDY27,OUT017,2911.1943
FDV56,OUT035,1636.8457
FDT59,OUT046,3866.131
FDB23,OUT046,3817.2786
FDR49,OUT045,771.0858
FDB03,OUT010,578.11615
FDN39,OUT045,2616.2815
FDX02,OUT027,5717.6304
FDQ16,OUT027,2591.2498
FDU35,OUT018,1467.5437
NCT29,OUT013,2024.6914
FDZ27,OUT046,765.6599
FDN57,OUT017,2029.3943
FDA03,OUT018,2248.9402
FDZ36,OUT045,3023.8591
NCU05,OUT013,1337.3745
FDT39,OUT018,2358.008
FDK60,OUT017,1573.5999
FDZ25,OUT017,2803.7974
FDG12,OUT046,2035.5653
DRB01,OUT019,447.9421
NCC43,OUT027,6201.608
FDX13,OUT019,535.8987
FDM22,OUT049,836.5985
FDJ03,OUT027,1483.4135
FDU14,OUT018,3396.7961
FDB33,OUT010,413.61755
FDP27,OUT046,3022.5388
FDO38,OUT010,179.02127
FDE28,OUT027,6133.7896
FDO27,OUT035,1572.4968
DRL23,OUT027,2559.089
FDS28,OUT046,858.1291
FDX24,OUT013,1532.332
FDZ02,OUT035,1577.2003
FDL46,OUT045,1988.1443
FDS60,OUT027,4922.099
NCO06,OUT017,661.17566
FDO16,OUT035,1442.5768
FDC60,OUT049,1444.8243
FDA48,OUT018,3489.2695
FDZ36,OUT027,4658.313
FDK27,OUT045,2034.259
FDW23,OUT018,576.19476
FDM14,OUT018,1563.9011
FDM14,OUT013,1631.4279
FDW60,OUT018,2710.648
FDE21,OUT013,1999.9138
NCM42,OUT035,1637.4578
FDY59,OUT010,206.56425
DRI49,OUT049,1347.7565
FDT28,OUT019,340.692
FDQ22,OUT018,576.19476
FDR60,OUT049,1278.415
FDC50,OUT019,246.98259
FDV24,OUT013,2574.126
DRF48,OUT010,558.54034
FDQ47,OUT046,661.17566
DRN36,OUT049,1578.3033
NCY06,OUT035,2023.9973
FDE52,OUT035,1440.4762
NCB54,OUT045,2024.6272
NCF31,OUT035,2594.113
FDJ08,OUT027,5198.224
NCC07,OUT017,1633.143
NCD19,OUT027,1631.9124
FDL46,OUT049,2006.8656
FDM20,OUT045,3980.783
NCI06,OUT010,433.27374
DRM11,OUT035,4123.5947
NCH07,OUT018,2411.1003
FDS23,OUT013,2033.4491
FDO49,OUT018,720.7274
FDS35,OUT049,1051.931
DRK39,OUT045,1389.8794
DRI39,OUT049,858.1291
FDV04,OUT017,2615.5713
NCN14,OUT035,3026.1946
FDH08,OUT013,3866.131
FDS20,OUT046,3022.5388
FDV40,OUT049,1128.664
FDZ48,OUT010,243.94734
FDS24,OUT027,2505.58
FDK44,OUT049,2892.4717
FDS48,OUT045,2597.5032
FDK26,OUT010,689.7143
FDD23,OUT045,3179.6235
NCH54,OUT017,2624.856
NCP14,OUT010,234.9001
FDM60,OUT010,94.61202
FDV24,OUT017,2594.113
FDH08,OUT018,3255.1252
FDS12,OUT027,3357.076
FDR39,OUT027,4955.7075
FDP12,OUT027,1031.1672
DRF60,OUT027,6140.5376
FDC09,OUT035,1631.4279
FDF50,OUT018,3093.5173
FDG28,OUT035,3991.1921
NCE19,OUT017,858.1291
NCM53,OUT010,271.67673
NCN18,OUT049,1722.5378
FDF32,OUT035,3036.0671
FDF11,OUT013,3980.783
DRI59,OUT049,3821.3904
NCG54,OUT035,2800.0635
FDM44,OUT046,1623.7789
FDT57,OUT018,3133.1675
FDV24,OUT046,2584.5764
FDI50,OUT019,530.2847
FDS09,OUT035,768.79443
NCC31,OUT027,3966.2217
FDQ07,OUT019,619.3587
FDC22,OUT017,3027.5154
FDZ56,OUT046,2797.0664
FDZ40,OUT019,161.29105
FDS46,OUT027,3095.2627
DRD24,OUT045,2035.5377
FDV45,OUT017,3026.1946
FDL26,OUT045,2597.5032
FDA56,OUT018,1782.417
FDN27,OUT046,1992.8336
FDM20,OUT049,3980.783
FDO16,OUT017,1416.7168
FDL03,OUT035,3027.5154
FDE58,OUT046,1992.8336
FDI02,OUT027,3164.478
NCC55,OUT019,83.706314
FDR03,OUT018,3195.9622
FDB14,OUT017,1528.7317
FDR45,OUT013,3980.783
NCN07,OUT017,2031.6742
FDM51,OUT019,249.14124
FDT52,OUT027,6167.8745
FDL26,OUT046,2591.6228
NCZ42,OUT046,3953.3606
DRI47,OUT019,377.41306
FDW40,OUT013,2033.2294
FDN34,OUT046,2798.3867
FDS01,OUT035,2931.0947
NCG55,OUT045,1992.1394
FDC11,OUT035,1418.1188
FDX35,OUT018,3287.102
NCB06,OUT046,2611.7607
FDR09,OUT019,583.61255
FDC53,OUT017,1577.8225
FDY45,OUT013,4108.0254
FDA22,OUT010,393.18442
FDE02,OUT035,1572.4968
FDW21,OUT045,1640.5112
FDV34,OUT046,1121.3442
FDS59,OUT049,1641.3782
NCW17,OUT017,2032.8104
NCK54,OUT046,1994.5487
FDG17,OUT019,537.03644
FDG35,OUT017,2858.2373
FDD08,OUT010,93.71539
NCO07,OUT017,3813.8933
FDJ10,OUT010,295.64487
FDW36,OUT017,1627.9797
FDW21,OUT010,218.24048
FDY19,OUT017,1990.4243
DRE03,OUT013,756.815
NCC55,OUT049,661.17566
FDH52,OUT010,155.39577
FDO09,OUT017,4076.4202
FDU43,OUT045,3976.6711
FDX09,OUT010,417.7274
FDH40,OUT019,226.75113
FDW58,OUT017,1632.8765
FDC47,OUT017,3813.4216
NCR41,OUT035,1570.599
DRG49,OUT035,3996.9187
FDC52,OUT027,4357.148
FDY13,OUT046,1132.3865
FDY35,OUT013,635.9087
FDI35,OUT017,3179.0942
NCU18,OUT049,2036.2141
FDY33,OUT018,2441.7612
FDC15,OUT027,3925.1394
FDU01,OUT049,3019.552
NCU42,OUT046,2792.0933
NCV29,OUT018,2718.3994
NCY30,OUT017,3026.1946
FDQ46,OUT049,1717.9882
FDG58,OUT027,4029.3035
FDK33,OUT017,3801.971
NCD07,OUT045,1988.6914
NCX29,OUT027,3895.9236
NCT42,OUT013,2574.126
DRN59,OUT035,765.0286
FDI44,OUT035,1280.2876
FDA45,OUT049,2686.1172
